"Plot Title: 20187021"
"#","Date Time, GMT-08:00","Temp, °C (LGR S/N: 20187021, SEN S/N: 20187021, LBL: Pruth05)","Coupler Detached (LGR S/N: 20187021)","Coupler Attached (LGR S/N: 20187021)","Stopped (LGR S/N: 20187021)","End Of File (LGR S/N: 20187021)"
1,03/17/18 02:20:00 PM,8.494,Logged,,,
2,03/17/18 02:30:00 PM,6.636,,,,
3,03/17/18 02:40:00 PM,6.687,,,,
4,03/17/18 02:50:00 PM,6.737,,,,
5,03/17/18 03:00:00 PM,6.636,,,,
6,03/17/18 03:10:00 PM,6.763,,,,
7,03/17/18 03:20:00 PM,6.661,,,,
8,03/17/18 03:30:00 PM,6.661,,,,
9,03/17/18 03:40:00 PM,6.611,,,,
10,03/17/18 03:50:00 PM,6.636,,,,
11,03/17/18 04:00:00 PM,6.636,,,,
12,03/17/18 04:10:00 PM,6.636,,,,
13,03/17/18 04:20:00 PM,6.636,,,,
14,03/17/18 04:30:00 PM,6.636,,,,
15,03/17/18 04:40:00 PM,6.661,,,,
16,03/17/18 04:50:00 PM,6.687,,,,
17,03/17/18 05:00:00 PM,6.712,,,,
18,03/17/18 05:10:00 PM,6.763,,,,
19,03/17/18 05:20:00 PM,6.712,,,,
20,03/17/18 05:30:00 PM,6.712,,,,
21,03/17/18 05:40:00 PM,6.560,,,,
22,03/17/18 05:50:00 PM,6.636,,,,
23,03/17/18 06:00:00 PM,6.712,,,,
24,03/17/18 06:10:00 PM,6.788,,,,
25,03/17/18 06:20:00 PM,6.611,,,,
26,03/17/18 06:30:00 PM,6.661,,,,
27,03/17/18 06:40:00 PM,6.636,,,,
28,03/17/18 06:50:00 PM,6.636,,,,
29,03/17/18 07:00:00 PM,6.661,,,,
30,03/17/18 07:10:00 PM,6.687,,,,
31,03/17/18 07:20:00 PM,6.763,,,,
32,03/17/18 07:30:00 PM,6.763,,,,
33,03/17/18 07:40:00 PM,6.763,,,,
34,03/17/18 07:50:00 PM,6.763,,,,
35,03/17/18 08:00:00 PM,6.763,,,,
36,03/17/18 08:10:00 PM,6.636,,,,
37,03/17/18 08:20:00 PM,6.661,,,,
38,03/17/18 08:30:00 PM,6.687,,,,
39,03/17/18 08:40:00 PM,6.661,,,,
40,03/17/18 08:50:00 PM,6.611,,,,
41,03/17/18 09:00:00 PM,6.585,,,,
42,03/17/18 09:10:00 PM,6.585,,,,
43,03/17/18 09:20:00 PM,6.585,,,,
44,03/17/18 09:30:00 PM,6.611,,,,
45,03/17/18 09:40:00 PM,6.636,,,,
46,03/17/18 09:50:00 PM,6.611,,,,
47,03/17/18 10:00:00 PM,6.636,,,,
48,03/17/18 10:10:00 PM,6.585,,,,
49,03/17/18 10:20:00 PM,6.560,,,,
50,03/17/18 10:30:00 PM,6.560,,,,
51,03/17/18 10:40:00 PM,6.636,,,,
52,03/17/18 10:50:00 PM,6.712,,,,
53,03/17/18 11:00:00 PM,6.712,,,,
54,03/17/18 11:10:00 PM,6.737,,,,
55,03/17/18 11:20:00 PM,6.687,,,,
56,03/17/18 11:30:00 PM,6.687,,,,
57,03/17/18 11:40:00 PM,6.687,,,,
58,03/17/18 11:50:00 PM,6.839,,,,
59,03/18/18 12:00:00 AM,6.687,,,,
60,03/18/18 12:10:00 AM,6.712,,,,
61,03/18/18 12:20:00 AM,6.712,,,,
62,03/18/18 12:30:00 AM,6.712,,,,
63,03/18/18 12:40:00 AM,6.737,,,,
64,03/18/18 12:50:00 AM,6.737,,,,
65,03/18/18 01:00:00 AM,6.737,,,,
66,03/18/18 01:10:00 AM,6.763,,,,
67,03/18/18 01:20:00 AM,6.737,,,,
68,03/18/18 01:30:00 AM,6.712,,,,
69,03/18/18 01:40:00 AM,6.712,,,,
70,03/18/18 01:50:00 AM,6.585,,,,
71,03/18/18 02:00:00 AM,6.687,,,,
72,03/18/18 02:10:00 AM,6.712,,,,
73,03/18/18 02:20:00 AM,6.763,,,,
74,03/18/18 02:30:00 AM,6.712,,,,
75,03/18/18 02:40:00 AM,6.712,,,,
76,03/18/18 02:50:00 AM,6.712,,,,
77,03/18/18 03:00:00 AM,6.712,,,,
78,03/18/18 03:10:00 AM,6.712,,,,
79,03/18/18 03:20:00 AM,6.712,,,,
80,03/18/18 03:30:00 AM,6.737,,,,
81,03/18/18 03:40:00 AM,6.737,,,,
82,03/18/18 03:50:00 AM,6.712,,,,
83,03/18/18 04:00:00 AM,6.687,,,,
84,03/18/18 04:10:00 AM,6.687,,,,
85,03/18/18 04:20:00 AM,6.661,,,,
86,03/18/18 04:30:00 AM,6.712,,,,
87,03/18/18 04:40:00 AM,6.712,,,,
88,03/18/18 04:50:00 AM,6.737,,,,
89,03/18/18 05:00:00 AM,6.712,,,,
90,03/18/18 05:10:00 AM,6.737,,,,
91,03/18/18 05:20:00 AM,6.712,,,,
92,03/18/18 05:30:00 AM,6.661,,,,
93,03/18/18 05:40:00 AM,6.661,,,,
94,03/18/18 05:50:00 AM,6.636,,,,
95,03/18/18 06:00:00 AM,6.611,,,,
96,03/18/18 06:10:00 AM,6.636,,,,
97,03/18/18 06:20:00 AM,6.636,,,,
98,03/18/18 06:30:00 AM,6.636,,,,
99,03/18/18 06:40:00 AM,6.661,,,,
100,03/18/18 06:50:00 AM,6.661,,,,
101,03/18/18 07:00:00 AM,6.636,,,,
102,03/18/18 07:10:00 AM,6.611,,,,
103,03/18/18 07:20:00 AM,6.585,,,,
104,03/18/18 07:30:00 AM,6.661,,,,
105,03/18/18 07:40:00 AM,6.712,,,,
106,03/18/18 07:50:00 AM,6.763,,,,
107,03/18/18 08:00:00 AM,6.737,,,,
108,03/18/18 08:10:00 AM,6.661,,,,
109,03/18/18 08:20:00 AM,6.661,,,,
110,03/18/18 08:30:00 AM,6.661,,,,
111,03/18/18 08:40:00 AM,6.611,,,,
112,03/18/18 08:50:00 AM,6.636,,,,
113,03/18/18 09:00:00 AM,6.661,,,,
114,03/18/18 09:10:00 AM,6.636,,,,
115,03/18/18 09:20:00 AM,6.636,,,,
116,03/18/18 09:30:00 AM,6.611,,,,
117,03/18/18 09:40:00 AM,6.611,,,,
118,03/18/18 09:50:00 AM,6.636,,,,
119,03/18/18 10:00:00 AM,6.687,,,,
120,03/18/18 10:10:00 AM,6.636,,,,
121,03/18/18 10:20:00 AM,6.636,,,,
122,03/18/18 10:30:00 AM,6.687,,,,
123,03/18/18 10:40:00 AM,6.687,,,,
124,03/18/18 10:50:00 AM,6.687,,,,
125,03/18/18 11:00:00 AM,6.687,,,,
126,03/18/18 11:10:00 AM,6.661,,,,
127,03/18/18 11:20:00 AM,6.661,,,,
128,03/18/18 11:30:00 AM,6.661,,,,
129,03/18/18 11:40:00 AM,6.687,,,,
130,03/18/18 11:50:00 AM,6.687,,,,
131,03/18/18 12:00:00 PM,6.712,,,,
132,03/18/18 12:10:00 PM,6.687,,,,
133,03/18/18 12:20:00 PM,6.687,,,,
134,03/18/18 12:30:00 PM,6.712,,,,
135,03/18/18 12:40:00 PM,6.712,,,,
136,03/18/18 12:50:00 PM,6.687,,,,
137,03/18/18 01:00:00 PM,6.737,,,,
138,03/18/18 01:10:00 PM,6.737,,,,
139,03/18/18 01:20:00 PM,6.712,,,,
140,03/18/18 01:30:00 PM,6.712,,,,
141,03/18/18 01:40:00 PM,6.737,,,,
142,03/18/18 01:50:00 PM,6.737,,,,
143,03/18/18 02:00:00 PM,6.712,,,,
144,03/18/18 02:10:00 PM,6.712,,,,
145,03/18/18 02:20:00 PM,6.712,,,,
146,03/18/18 02:30:00 PM,6.737,,,,
147,03/18/18 02:40:00 PM,6.661,,,,
148,03/18/18 02:50:00 PM,6.661,,,,
149,03/18/18 03:00:00 PM,6.712,,,,
150,03/18/18 03:10:00 PM,6.737,,,,
151,03/18/18 03:20:00 PM,6.763,,,,
152,03/18/18 03:30:00 PM,6.763,,,,
153,03/18/18 03:40:00 PM,6.763,,,,
154,03/18/18 03:50:00 PM,6.763,,,,
155,03/18/18 04:00:00 PM,6.788,,,,
156,03/18/18 04:10:00 PM,6.763,,,,
157,03/18/18 04:20:00 PM,6.737,,,,
158,03/18/18 04:30:00 PM,6.712,,,,
159,03/18/18 04:40:00 PM,6.687,,,,
160,03/18/18 04:50:00 PM,6.687,,,,
161,03/18/18 05:00:00 PM,6.661,,,,
162,03/18/18 05:10:00 PM,6.661,,,,
163,03/18/18 05:20:00 PM,6.661,,,,
164,03/18/18 05:30:00 PM,6.661,,,,
165,03/18/18 05:40:00 PM,6.661,,,,
166,03/18/18 05:50:00 PM,6.712,,,,
167,03/18/18 06:00:00 PM,6.737,,,,
168,03/18/18 06:10:00 PM,6.763,,,,
169,03/18/18 06:20:00 PM,6.839,,,,
170,03/18/18 06:30:00 PM,6.889,,,,
171,03/18/18 06:40:00 PM,6.864,,,,
172,03/18/18 06:50:00 PM,6.914,,,,
173,03/18/18 07:00:00 PM,6.889,,,,
174,03/18/18 07:10:00 PM,6.737,,,,
175,03/18/18 07:20:00 PM,6.763,,,,
176,03/18/18 07:30:00 PM,6.661,,,,
177,03/18/18 07:40:00 PM,6.712,,,,
178,03/18/18 07:50:00 PM,6.687,,,,
179,03/18/18 08:00:00 PM,6.661,,,,
180,03/18/18 08:10:00 PM,6.661,,,,
181,03/18/18 08:20:00 PM,6.687,,,,
182,03/18/18 08:30:00 PM,6.712,,,,
183,03/18/18 08:40:00 PM,6.712,,,,
184,03/18/18 08:50:00 PM,6.661,,,,
185,03/18/18 09:00:00 PM,6.611,,,,
186,03/18/18 09:10:00 PM,6.611,,,,
187,03/18/18 09:20:00 PM,6.611,,,,
188,03/18/18 09:30:00 PM,6.687,,,,
189,03/18/18 09:40:00 PM,6.687,,,,
190,03/18/18 09:50:00 PM,6.687,,,,
191,03/18/18 10:00:00 PM,6.712,,,,
192,03/18/18 10:10:00 PM,6.687,,,,
