"Plot Title: 20187025"
"#","Date Time, GMT-08:00","Temp, °C (LGR S/N: 20187025, SEN S/N: 20187025, LBL: Pruth09)","Coupler Detached (LGR S/N: 20187025, SEN S/N: 20187025)","Coupler Attached (LGR S/N: 20187025, SEN S/N: 20187025)","Stopped (LGR S/N: 20187025, SEN S/N: 20187025)","End Of File (LGR S/N: 20187025, SEN S/N: 20187025)"
1,06/10/18 07:57:35 AM,11.856,Logged,,,
2,06/10/18 08:07:35 AM,11.565,,,,
3,06/10/18 08:17:35 AM,11.467,,,,
4,06/10/18 08:27:35 AM,10.222,,,,
5,06/10/18 08:37:35 AM,10.075,,,,
6,06/10/18 08:47:35 AM,10.149,,,,
7,06/10/18 08:57:35 AM,10.173,,,,
8,06/10/18 09:07:35 AM,10.173,,,,
9,06/10/18 09:17:35 AM,10.247,,,,
10,06/10/18 09:27:35 AM,10.394,,,,
11,06/10/18 09:37:35 AM,10.443,,,,
12,06/10/18 09:47:35 AM,10.418,,,,
13,06/10/18 09:57:35 AM,10.369,,,,
14,06/10/18 10:07:35 AM,10.369,,,,
15,06/10/18 10:17:35 AM,10.394,,,,
16,06/10/18 10:27:35 AM,10.394,,,,
17,06/10/18 10:37:35 AM,10.198,,,,
18,06/10/18 10:47:35 AM,10.149,,,,
19,06/10/18 10:57:35 AM,10.247,,,,
20,06/10/18 11:07:35 AM,10.198,,,,
21,06/10/18 11:17:35 AM,10.394,,,,
22,06/10/18 11:27:35 AM,10.418,,,,
23,06/10/18 11:37:35 AM,10.418,,,,
24,06/10/18 11:47:35 AM,10.443,,,,
25,06/10/18 11:57:35 AM,10.516,,,,
26,06/10/18 12:07:35 PM,10.394,,,,
27,06/10/18 12:17:35 PM,10.394,,,,
28,06/10/18 12:27:35 PM,10.271,,,,
29,06/10/18 12:37:35 PM,10.271,,,,
30,06/10/18 12:47:35 PM,10.247,,,,
31,06/10/18 12:57:35 PM,10.247,,,,
32,06/10/18 01:07:35 PM,9.928,,,,
33,06/10/18 01:17:35 PM,9.706,,,,
34,06/10/18 01:27:35 PM,9.632,,,,
35,06/10/18 01:37:35 PM,9.756,,,,
36,06/10/18 01:47:35 PM,10.100,,,,
37,06/10/18 01:57:35 PM,10.369,,,,
38,06/10/18 02:07:35 PM,10.394,,,,
39,06/10/18 02:17:35 PM,10.394,,,,
40,06/10/18 02:27:35 PM,10.173,,,,
41,06/10/18 02:37:35 PM,10.271,,,,
42,06/10/18 02:47:35 PM,10.271,,,,
43,06/10/18 02:57:35 PM,10.271,,,,
44,06/10/18 03:07:35 PM,10.222,,,,
45,06/10/18 03:17:35 PM,10.222,,,,
46,06/10/18 03:27:35 PM,10.051,,,,
47,06/10/18 03:37:35 PM,10.100,,,,
48,06/10/18 03:47:35 PM,10.149,,,,
49,06/10/18 03:57:35 PM,10.051,,,,
50,06/10/18 04:07:35 PM,10.026,,,,
51,06/10/18 04:17:35 PM,10.051,,,,
52,06/10/18 04:27:35 PM,10.026,,,,
53,06/10/18 04:37:35 PM,10.001,,,,
54,06/10/18 04:47:35 PM,10.075,,,,
55,06/10/18 04:57:35 PM,9.952,,,,
56,06/10/18 05:07:35 PM,9.903,,,,
57,06/10/18 05:17:35 PM,9.928,,,,
58,06/10/18 05:27:35 PM,9.903,,,,
59,06/10/18 05:37:35 PM,9.805,,,,
60,06/10/18 05:47:35 PM,9.756,,,,
61,06/10/18 05:57:35 PM,9.731,,,,
62,06/10/18 06:07:35 PM,9.657,,,,
63,06/10/18 06:17:35 PM,9.632,,,,
64,06/10/18 06:27:35 PM,9.706,,,,
65,06/10/18 06:37:35 PM,9.583,,,,
66,06/10/18 06:47:35 PM,9.608,,,,
67,06/10/18 06:57:35 PM,9.706,,,,
68,06/10/18 07:07:35 PM,9.829,,,,
69,06/10/18 07:17:35 PM,9.805,,,,
70,06/10/18 07:27:35 PM,9.829,,,,
71,06/10/18 07:37:35 PM,9.879,,,,
72,06/10/18 07:47:35 PM,9.977,,,,
73,06/10/18 07:57:35 PM,10.051,,,,
74,06/10/18 08:07:35 PM,9.903,,,,
75,06/10/18 08:17:35 PM,9.952,,,,
76,06/10/18 08:27:35 PM,9.805,,,,
77,06/10/18 08:37:35 PM,9.632,,,,
78,06/10/18 08:47:35 PM,9.657,,,,
79,06/10/18 08:57:35 PM,9.756,,,,
80,06/10/18 09:07:35 PM,9.657,,,,
81,06/10/18 09:17:35 PM,9.632,,,,
82,06/10/18 09:27:35 PM,9.608,,,,
83,06/10/18 09:37:35 PM,9.706,,,,
84,06/10/18 09:47:35 PM,9.854,,,,
85,06/10/18 09:57:35 PM,9.731,,,,
86,06/10/18 10:07:35 PM,9.756,,,,
87,06/10/18 10:17:35 PM,9.706,,,,
88,06/10/18 10:27:35 PM,9.558,,,,
89,06/10/18 10:37:35 PM,9.657,,,,
90,06/10/18 10:47:35 PM,9.731,,,,
91,06/10/18 10:57:35 PM,9.756,,,,
92,06/10/18 11:07:35 PM,9.731,,,,
93,06/10/18 11:17:35 PM,9.731,,,,
94,06/10/18 11:27:35 PM,9.731,,,,
95,06/10/18 11:37:35 PM,9.706,,,,
96,06/10/18 11:47:35 PM,9.657,,,,
97,06/10/18 11:57:35 PM,9.583,,,,
98,06/11/18 12:07:35 AM,9.558,,,,
99,06/11/18 12:17:35 AM,9.657,,,,
100,06/11/18 12:27:35 AM,9.706,,,,
101,06/11/18 12:37:35 AM,9.558,,,,
102,06/11/18 12:47:35 AM,9.509,,,,
103,06/11/18 12:57:35 AM,9.460,,,,
104,06/11/18 01:07:35 AM,9.435,,,,
105,06/11/18 01:17:35 AM,9.386,,,,
106,06/11/18 01:27:35 AM,9.386,,,,
107,06/11/18 01:37:35 AM,9.386,,,,
108,06/11/18 01:47:35 AM,9.361,,,,
109,06/11/18 01:57:35 AM,9.509,,,,
110,06/11/18 02:07:35 AM,9.632,,,,
111,06/11/18 02:17:35 AM,9.731,,,,
112,06/11/18 02:27:35 AM,9.731,,,,
113,06/11/18 02:37:35 AM,9.952,,,,
114,06/11/18 02:47:35 AM,9.928,,,,
115,06/11/18 02:57:35 AM,9.928,,,,
116,06/11/18 03:07:35 AM,9.731,,,,
117,06/11/18 03:17:35 AM,9.632,,,,
118,06/11/18 03:27:35 AM,9.534,,,,
119,06/11/18 03:37:35 AM,9.583,,,,
120,06/11/18 03:47:35 AM,9.410,,,,
121,06/11/18 03:57:35 AM,9.632,,,,
122,06/11/18 04:07:35 AM,9.731,,,,
123,06/11/18 04:17:35 AM,9.780,,,,
124,06/11/18 04:27:35 AM,9.780,,,,
125,06/11/18 04:37:35 AM,9.731,,,,
126,06/11/18 04:47:35 AM,9.780,,,,
127,06/11/18 04:57:35 AM,9.829,,,,
128,06/11/18 05:07:35 AM,9.780,,,,
129,06/11/18 05:17:35 AM,9.558,,,,
130,06/11/18 05:27:35 AM,9.460,,,,
131,06/11/18 05:37:35 AM,9.509,,,,
132,06/11/18 05:47:35 AM,9.534,,,,
133,06/11/18 05:57:35 AM,9.558,,,,
134,06/11/18 06:07:35 AM,9.608,,,,
135,06/11/18 06:17:35 AM,9.608,,,,
136,06/11/18 06:27:35 AM,9.632,,,,
137,06/11/18 06:37:35 AM,9.608,,,,
138,06/11/18 06:47:35 AM,9.558,,,,
139,06/11/18 06:57:35 AM,9.583,,,,
140,06/11/18 07:07:35 AM,9.583,,,,
141,06/11/18 07:17:35 AM,9.608,,,,
142,06/11/18 07:27:35 AM,9.706,,,,
143,06/11/18 07:37:35 AM,9.829,,,,
144,06/11/18 07:47:35 AM,9.952,,,,
145,06/11/18 07:57:35 AM,10.075,,,,
146,06/11/18 08:07:35 AM,10.001,,,,
147,06/11/18 08:17:35 AM,9.903,,,,
148,06/11/18 08:27:35 AM,9.903,,,,
149,06/11/18 08:37:35 AM,9.977,,,,
150,06/11/18 08:47:35 AM,10.026,,,,
151,06/11/18 08:57:35 AM,10.051,,,,
152,06/11/18 09:07:35 AM,10.075,,,,
153,06/11/18 09:17:35 AM,10.001,,,,
154,06/11/18 09:27:35 AM,10.026,,,,
155,06/11/18 09:37:35 AM,10.026,,,,
156,06/11/18 09:47:35 AM,10.075,,,,
157,06/11/18 09:57:35 AM,10.100,,,,
158,06/11/18 10:07:35 AM,10.100,,,,
159,06/11/18 10:17:35 AM,10.001,,,,
160,06/11/18 10:27:35 AM,10.001,,,,
161,06/11/18 10:37:35 AM,10.051,,,,
162,06/11/18 10:47:35 AM,10.075,,,,
163,06/11/18 10:57:35 AM,10.100,,,,
164,06/11/18 11:07:35 AM,10.051,,,,
165,06/11/18 11:17:35 AM,10.051,,,,
166,06/11/18 11:27:35 AM,10.075,,,,
167,06/11/18 11:37:35 AM,10.075,,,,
168,06/11/18 11:47:35 AM,10.124,,,,
169,06/11/18 11:57:35 AM,10.001,,,,
170,06/11/18 12:07:35 PM,9.977,,,,
171,06/11/18 12:17:35 PM,9.952,,,,
172,06/11/18 12:27:35 PM,9.928,,,,
173,06/11/18 12:37:35 PM,9.829,,,,
174,06/11/18 12:47:35 PM,9.780,,,,
175,06/11/18 12:57:35 PM,9.805,,,,
176,06/11/18 01:07:35 PM,9.805,,,,
177,06/11/18 01:17:35 PM,9.706,,,,
178,06/11/18 01:27:35 PM,9.756,,,,
179,06/11/18 01:37:35 PM,9.756,,,,
180,06/11/18 01:47:35 PM,9.558,,,,
181,06/11/18 01:57:35 PM,9.534,,,,
182,06/11/18 02:07:35 PM,9.361,,,,
183,06/11/18 02:17:35 PM,9.361,,,,
184,06/11/18 02:27:35 PM,9.361,,,,
185,06/11/18 02:37:35 PM,9.361,,,,
186,06/11/18 02:47:35 PM,9.361,,,,
187,06/11/18 02:57:35 PM,9.460,,,,
188,06/11/18 03:07:35 PM,9.608,,,,
189,06/11/18 03:17:35 PM,9.903,,,,
190,06/11/18 03:27:35 PM,9.977,,,,
191,06/11/18 03:37:35 PM,9.977,,,,
192,06/11/18 03:47:35 PM,10.001,,,,
193,06/11/18 03:57:35 PM,10.026,,,,
194,06/11/18 04:07:35 PM,10.051,,,,
195,06/11/18 04:17:35 PM,9.977,,,,
196,06/11/18 04:27:35 PM,10.026,,,,
197,06/11/18 04:37:35 PM,9.928,,,,
198,06/11/18 04:47:35 PM,9.879,,,,
199,06/11/18 04:57:35 PM,9.805,,,,
200,06/11/18 05:07:35 PM,9.879,,,,
201,06/11/18 05:17:35 PM,9.928,,,,
202,06/11/18 05:27:35 PM,10.001,,,,
203,06/11/18 05:37:35 PM,9.879,,,,
204,06/11/18 05:47:35 PM,9.903,,,,
205,06/11/18 05:57:35 PM,9.903,,,,
206,06/11/18 06:07:35 PM,9.928,,,,
207,06/11/18 06:17:35 PM,9.928,,,,
208,06/11/18 06:27:35 PM,9.854,,,,
209,06/11/18 06:37:35 PM,9.879,,,,
210,06/11/18 06:47:35 PM,9.854,,,,
211,06/11/18 06:57:35 PM,9.928,,,,
212,06/11/18 07:07:35 PM,9.829,,,,
213,06/11/18 07:17:35 PM,9.805,,,,
214,06/11/18 07:27:35 PM,9.829,,,,
215,06/11/18 07:37:35 PM,9.879,,,,
216,06/11/18 07:47:35 PM,9.854,,,,
217,06/11/18 07:57:35 PM,9.780,,,,
218,06/11/18 08:07:35 PM,9.854,,,,
219,06/11/18 08:17:35 PM,9.903,,,,
