"Plot Title: 20187020"
"#","Date Time, GMT-08:00","Temp, °C (LGR S/N: 20187020, SEN S/N: 20187020, LBL: Pruth04)","Coupler Detached (LGR S/N: 20187020, SEN S/N: 20187020)","Coupler Attached (LGR S/N: 20187020, SEN S/N: 20187020)","Stopped (LGR S/N: 20187020, SEN S/N: 20187020)","End Of File (LGR S/N: 20187020, SEN S/N: 20187020)"
1,06/10/18 08:00:00 AM,11.540,Logged,,,
2,06/10/18 08:10:00 AM,11.370,,,,
3,06/10/18 08:20:00 AM,11.977,,,,
4,06/10/18 08:30:00 AM,11.151,,,,
5,06/10/18 08:40:00 AM,11.175,,,,
6,06/10/18 08:50:00 AM,11.248,,,,
7,06/10/18 09:00:00 AM,11.200,,,,
8,06/10/18 09:10:00 AM,11.248,,,,
9,06/10/18 09:20:00 AM,11.200,,,,
10,06/10/18 09:30:00 AM,11.175,,,,
11,06/10/18 09:40:00 AM,11.200,,,,
12,06/10/18 09:50:00 AM,11.224,,,,
13,06/10/18 10:00:00 AM,11.224,,,,
14,06/10/18 10:10:00 AM,11.200,,,,
15,06/10/18 10:20:00 AM,11.175,,,,
16,06/10/18 10:30:00 AM,11.200,,,,
17,06/10/18 10:40:00 AM,11.224,,,,
18,06/10/18 10:50:00 AM,11.224,,,,
19,06/10/18 11:00:00 AM,11.273,,,,
20,06/10/18 11:10:00 AM,11.273,,,,
21,06/10/18 11:20:00 AM,11.224,,,,
22,06/10/18 11:30:00 AM,11.200,,,,
23,06/10/18 11:40:00 AM,11.224,,,,
24,06/10/18 11:50:00 AM,11.273,,,,
25,06/10/18 12:00:00 PM,11.273,,,,
26,06/10/18 12:10:00 PM,11.248,,,,
27,06/10/18 12:20:00 PM,11.248,,,,
28,06/10/18 12:30:00 PM,11.224,,,,
29,06/10/18 12:40:00 PM,11.224,,,,
30,06/10/18 12:50:00 PM,11.224,,,,
31,06/10/18 01:00:00 PM,11.224,,,,
32,06/10/18 01:10:00 PM,11.248,,,,
33,06/10/18 01:20:00 PM,11.273,,,,
34,06/10/18 01:30:00 PM,11.273,,,,
35,06/10/18 01:40:00 PM,11.321,,,,
36,06/10/18 01:50:00 PM,11.346,,,,
37,06/10/18 02:00:00 PM,11.419,,,,
38,06/10/18 02:10:00 PM,11.443,,,,
39,06/10/18 02:20:00 PM,11.516,,,,
40,06/10/18 02:30:00 PM,11.589,,,,
41,06/10/18 02:40:00 PM,11.734,,,,
42,06/10/18 02:50:00 PM,11.662,,,,
43,06/10/18 03:00:00 PM,11.613,,,,
44,06/10/18 03:10:00 PM,11.565,,,,
45,06/10/18 03:20:00 PM,11.662,,,,
46,06/10/18 03:30:00 PM,11.613,,,,
47,06/10/18 03:40:00 PM,11.540,,,,
48,06/10/18 03:50:00 PM,11.516,,,,
49,06/10/18 04:00:00 PM,11.516,,,,
50,06/10/18 04:10:00 PM,11.516,,,,
51,06/10/18 04:20:00 PM,11.516,,,,
