"Plot Title: 20187028"
"#","Date Time, GMT-08:00","Temp, °C (LGR S/N: 20187028, SEN S/N: 20187028, LBL: Pruth12)","Coupler Detached (LGR S/N: 20187028, SEN S/N: 20187028)","End Of File (LGR S/N: 20187028, SEN S/N: 20187028)"
1,02/19/23 01:10:00 PM,13.185,Logged,
2,02/19/23 01:20:00 PM,14.218,,
3,02/19/23 01:30:00 PM,14.745,,
4,02/19/23 01:40:00 PM,15.031,,
5,02/19/23 01:50:00 PM,10.858,,
6,02/19/23 02:00:00 PM,7.569,,
7,02/19/23 02:10:00 PM,7.544,,
8,02/19/23 02:20:00 PM,7.519,,
9,02/19/23 02:30:00 PM,7.519,,
10,02/19/23 02:40:00 PM,7.519,,
11,02/19/23 02:50:00 PM,7.519,,
12,02/19/23 03:00:00 PM,7.519,,
13,02/19/23 03:10:00 PM,7.519,,
14,02/19/23 03:20:00 PM,7.519,,
15,02/19/23 03:30:00 PM,7.519,,
16,02/19/23 03:40:00 PM,7.519,,
17,02/19/23 03:50:00 PM,7.494,,
18,02/19/23 04:00:00 PM,7.519,,
19,02/19/23 04:10:00 PM,7.519,,
20,02/19/23 04:20:00 PM,7.494,,
21,02/19/23 04:30:00 PM,7.469,,
22,02/19/23 04:40:00 PM,7.469,,
23,02/19/23 04:50:00 PM,7.494,,
24,02/19/23 05:00:00 PM,7.494,,
25,02/19/23 05:10:00 PM,7.469,,
26,02/19/23 05:20:00 PM,7.469,,
27,02/19/23 05:30:00 PM,7.469,,
28,02/19/23 05:40:00 PM,7.469,,
29,02/19/23 05:50:00 PM,7.469,,
30,02/19/23 06:00:00 PM,7.469,,
31,02/19/23 06:10:00 PM,7.469,,
32,02/19/23 06:20:00 PM,7.469,,
33,02/19/23 06:30:00 PM,7.469,,
34,02/19/23 06:40:00 PM,7.469,,
35,02/19/23 06:50:00 PM,7.469,,
36,02/19/23 07:00:00 PM,7.469,,
37,02/19/23 07:10:00 PM,7.469,,
38,02/19/23 07:20:00 PM,7.469,,
39,02/19/23 07:30:00 PM,7.469,,
40,02/19/23 07:40:00 PM,7.494,,
41,02/19/23 07:50:00 PM,7.494,,
42,02/19/23 08:00:00 PM,7.494,,
43,02/19/23 08:10:00 PM,7.494,,
44,02/19/23 08:20:00 PM,7.519,,
45,02/19/23 08:30:00 PM,7.519,,
46,02/19/23 08:40:00 PM,7.519,,
47,02/19/23 08:50:00 PM,7.519,,
48,02/19/23 09:00:00 PM,7.544,,
49,02/19/23 09:10:00 PM,7.544,,
50,02/19/23 09:20:00 PM,7.544,,
51,02/19/23 09:30:00 PM,7.544,,
52,02/19/23 09:40:00 PM,7.544,,
53,02/19/23 09:50:00 PM,7.544,,
54,02/19/23 10:00:00 PM,7.544,,
55,02/19/23 10:10:00 PM,7.544,,
56,02/19/23 10:20:00 PM,7.569,,
57,02/19/23 10:30:00 PM,7.569,,
58,02/19/23 10:40:00 PM,7.569,,
59,02/19/23 10:50:00 PM,7.569,,
60,02/19/23 11:00:00 PM,7.569,,
61,02/19/23 11:10:00 PM,7.544,,
62,02/19/23 11:20:00 PM,7.519,,
63,02/19/23 11:30:00 PM,7.519,,
64,02/19/23 11:40:00 PM,7.519,,
65,02/19/23 11:50:00 PM,7.519,,
66,02/20/23 12:00:00 AM,7.519,,
67,02/20/23 12:10:00 AM,7.519,,
68,02/20/23 12:20:00 AM,7.519,,
69,02/20/23 12:30:00 AM,7.519,,
70,02/20/23 12:40:00 AM,7.519,,
71,02/20/23 12:50:00 AM,7.519,,
72,02/20/23 01:00:00 AM,7.519,,
73,02/20/23 01:10:00 AM,7.519,,
74,02/20/23 01:20:00 AM,7.519,,
75,02/20/23 01:30:00 AM,7.519,,
76,02/20/23 01:40:00 AM,7.544,,
77,02/20/23 01:50:00 AM,7.519,,
78,02/20/23 02:00:00 AM,7.544,,
79,02/20/23 02:10:00 AM,7.544,,
80,02/20/23 02:20:00 AM,7.544,,
81,02/20/23 02:30:00 AM,7.544,,
82,02/20/23 02:40:00 AM,7.544,,
83,02/20/23 02:50:00 AM,7.544,,
84,02/20/23 03:00:00 AM,7.544,,
85,02/20/23 03:10:00 AM,7.544,,
86,02/20/23 03:20:00 AM,7.519,,
87,02/20/23 03:30:00 AM,7.519,,
88,02/20/23 03:40:00 AM,7.519,,
89,02/20/23 03:50:00 AM,7.519,,
90,02/20/23 04:00:00 AM,7.519,,
91,02/20/23 04:10:00 AM,7.519,,
92,02/20/23 04:20:00 AM,7.519,,
93,02/20/23 04:30:00 AM,7.544,,
94,02/20/23 04:40:00 AM,7.544,,
95,02/20/23 04:50:00 AM,7.544,,
96,02/20/23 05:00:00 AM,7.544,,
97,02/20/23 05:10:00 AM,7.544,,
98,02/20/23 05:20:00 AM,7.544,,
99,02/20/23 05:30:00 AM,7.544,,
100,02/20/23 05:40:00 AM,7.544,,
101,02/20/23 05:50:00 AM,7.519,,
102,02/20/23 06:00:00 AM,7.519,,
103,02/20/23 06:10:00 AM,7.519,,
104,02/20/23 06:20:00 AM,7.519,,
105,02/20/23 06:30:00 AM,7.544,,
106,02/20/23 06:40:00 AM,7.544,,
107,02/20/23 06:50:00 AM,7.544,,
108,02/20/23 07:00:00 AM,7.519,,
109,02/20/23 07:10:00 AM,7.519,,
110,02/20/23 07:20:00 AM,7.519,,
111,02/20/23 07:30:00 AM,7.519,,
112,02/20/23 07:40:00 AM,7.519,,
113,02/20/23 07:50:00 AM,7.519,,
114,02/20/23 08:00:00 AM,7.519,,
115,02/20/23 08:10:00 AM,7.519,,
116,02/20/23 08:20:00 AM,7.519,,
117,02/20/23 08:30:00 AM,7.519,,
118,02/20/23 08:40:00 AM,7.519,,
119,02/20/23 08:50:00 AM,7.519,,
120,02/20/23 09:00:00 AM,7.519,,
121,02/20/23 09:10:00 AM,7.519,,
122,02/20/23 09:20:00 AM,7.519,,
123,02/20/23 09:30:00 AM,7.544,,
124,02/20/23 09:40:00 AM,7.544,,
125,02/20/23 09:50:00 AM,7.519,,
126,02/20/23 10:00:00 AM,7.519,,
127,02/20/23 10:10:00 AM,7.519,,
128,02/20/23 10:20:00 AM,7.519,,
129,02/20/23 10:30:00 AM,7.519,,
130,02/20/23 10:40:00 AM,7.519,,
131,02/20/23 10:50:00 AM,7.519,,
132,02/20/23 11:00:00 AM,7.519,,
133,02/20/23 11:10:00 AM,7.519,,
134,02/20/23 11:20:00 AM,7.519,,
135,02/20/23 11:30:00 AM,7.519,,
136,02/20/23 11:40:00 AM,7.519,,
137,02/20/23 11:50:00 AM,7.519,,
138,02/20/23 12:00:00 PM,7.519,,
139,02/20/23 12:10:00 PM,7.519,,
140,02/20/23 12:20:00 PM,7.519,,
141,02/20/23 12:30:00 PM,7.519,,
142,02/20/23 12:40:00 PM,7.519,,
143,02/20/23 12:50:00 PM,7.519,,
144,02/20/23 01:00:00 PM,7.519,,
145,02/20/23 01:10:00 PM,7.519,,
146,02/20/23 01:20:00 PM,7.519,,
147,02/20/23 01:30:00 PM,7.519,,
148,02/20/23 01:40:00 PM,7.519,,
149,02/20/23 01:50:00 PM,7.519,,
150,02/20/23 02:00:00 PM,7.519,,
151,02/20/23 02:10:00 PM,7.519,,
152,02/20/23 02:20:00 PM,7.519,,
153,02/20/23 02:30:00 PM,7.519,,
154,02/20/23 02:40:00 PM,7.519,,
155,02/20/23 02:50:00 PM,7.519,,
156,02/20/23 03:00:00 PM,7.494,,
157,02/20/23 03:10:00 PM,7.494,,
158,02/20/23 03:20:00 PM,7.494,,
159,02/20/23 03:30:00 PM,7.494,,
160,02/20/23 03:40:00 PM,7.469,,
161,02/20/23 03:50:00 PM,7.469,,
162,02/20/23 04:00:00 PM,7.444,,
163,02/20/23 04:10:00 PM,7.469,,
164,02/20/23 04:20:00 PM,7.494,,
165,02/20/23 04:30:00 PM,7.494,,
166,02/20/23 04:40:00 PM,7.494,,
167,02/20/23 04:50:00 PM,7.494,,
168,02/20/23 05:00:00 PM,7.469,,
169,02/20/23 05:10:00 PM,7.469,,
170,02/20/23 05:20:00 PM,7.444,,
171,02/20/23 05:30:00 PM,7.444,,
172,02/20/23 05:40:00 PM,7.444,,
173,02/20/23 05:50:00 PM,7.444,,
174,02/20/23 06:00:00 PM,7.444,,
175,02/20/23 06:10:00 PM,7.419,,
176,02/20/23 06:20:00 PM,7.393,,
177,02/20/23 06:30:00 PM,7.393,,
178,02/20/23 06:40:00 PM,7.419,,
179,02/20/23 06:50:00 PM,7.419,,
180,02/20/23 07:00:00 PM,7.444,,
181,02/20/23 07:10:00 PM,7.444,,
182,02/20/23 07:20:00 PM,7.469,,
183,02/20/23 07:30:00 PM,7.469,,
184,02/20/23 07:40:00 PM,7.469,,
185,02/20/23 07:50:00 PM,7.494,,
186,02/20/23 08:00:00 PM,7.494,,
187,02/20/23 08:10:00 PM,7.519,,
188,02/20/23 08:20:00 PM,7.519,,
189,02/20/23 08:30:00 PM,7.519,,
190,02/20/23 08:40:00 PM,7.519,,
191,02/20/23 08:50:00 PM,7.544,,
192,02/20/23 09:00:00 PM,7.544,,
193,02/20/23 09:10:00 PM,7.544,,
194,02/20/23 09:20:00 PM,7.544,,
195,02/20/23 09:30:00 PM,7.544,,
196,02/20/23 09:40:00 PM,7.544,,
197,02/20/23 09:50:00 PM,7.569,,
198,02/20/23 10:00:00 PM,7.569,,
199,02/20/23 10:10:00 PM,7.544,,
200,02/20/23 10:20:00 PM,7.544,,
201,02/20/23 10:30:00 PM,7.544,,
202,02/20/23 10:40:00 PM,7.544,,
203,02/20/23 10:50:00 PM,7.544,,
204,02/20/23 11:00:00 PM,7.519,,
